item	itemNumber	block	type	shapeOne	shapeTwo	shapeThree	shapeFour	line	shapeFive	shapeSix	shapeSeven	shapeEight	sID	mode	onset_time	record_time	response	Other_keys
26	62.0	2	sample	triblack	diablue	circlegreen	sqyellow	line	diablack	triblue	heartgreen	octoyellow	1	prime	1308331125.806379	1.853587	2	
27	54.0	2	sample	sqblack	sqblack	sqpurp	sqpurp	line	circlepurp	circlered	circlered	triblack	1	prime	1308331128.172391	3.829753	2	
28	98.0	2	sample	heartgreen	heartgreen	triblack	triyellow	line	trigreen	diablack	heartyellow	none	1	prime	1308331132.510168	1.977961	3	
29	43.0	2	sample	octoblack	heartpurp	sqgreen	none	line	sqyellow	triblue	diapurp	none	1	prime	1308331134.981083	3.550993	4	
30	67.0	2	sample	heartred	octoyellow	diagreen	sqred	line	octored	heartyellow	diagreen	heartgreen	1	prime	1308331139.046287	2.303283	5	
31	96.0	2	sample	diapurp	heartpurp	heartyellow	none	line	diapurp	diayellow	heartpurp	heartyellow	1	prime	1308331141.851241	2.166538	8	
32	63.0	2	sample	sqpurp	circleblue	trigreen	heartblack	line	circlepurp	sqblue	diagreen	octoblack	1	prime	1308331144.532399	1.441087	6	
33	25.0	2	sample	circlegreen	diagreen	sqgreen	octogreen	line	heartblue	triblue	circleblue	diablue	1	prime	1308331146.489370	1.506016	7	
34	50.0	2	sample	octopurp	octoyellow	trired	none	line	octoblack	octoyellow	trired	none	1	prime	1308331148.492218	1.723954	4	
35	99.0	2	sample	octored	octored	circlegreen	circlepurp	line	circlered	diagreen	octopurp	none	1	prime	1308331150.721440	2.511075	4	
36	29.0	2	sample	sqred	circlepurp	sqred	circleblue	line	sqred	octopurp	sqred	octoblue	1	prime	1308331153.747418	1.838509	8	
37	12.0	2	sample	octopurp	heartblack	octoyellow	none	line	tripurp	octoblack	triyellow	none	1	prime	1308331156.081989	1.807708	7	
38	82.0	2	sample	triblack	circleyellow	triblack	none	line	none	triyellow	triyellow	none	1	prime	1308331158.379144	1.781013	6	
39	89.0	2	sample	sqyellow	trired	octoyellow	none	line	none	sqyellow	octoyellow	none	1	prime	1308331160.643728	1.637791	8	
40	78.0	2	sample	diayellow	sqblue	octoblack	none	line	none	diayellow	sqblue	none	1	prime	1308331162.764056	2.368127	8	
41	95.0	2	sample	diagreen	diayellow	circlegreen	circleyellow	line	diagreen	circlegreen	circleyellow	none	1	prime	1308331165.634463	0.624643	8	
42	20.0	2	sample	circleblack	heartgreen	circleblack	none	line	circlegreen	heartblack	circlegreen	none	1	prime	1308331166.750952	1.331226	7	
43	23.0	2	sample	circleblack	sqyellow	circleblack	none	line	sqblack	circleyellow	circleyellow	none	1	prime	1308331168.573130	2.426001	6	
44	90.0	2	sample	none	circlepurp	diapurp	none	line	circlepurp	sqyellow	diapurp	none	1	prime	1308331171.480265	1.176135	8	
45	85.0	2	sample	triyellow	heartblack	diayellow	none	line	none	triblack	diablack	none	1	prime	1308331173.142289	2.464182	6	
46	66.0	2	sample	diablue	circlegreen	tripurp	octoblue	line	circleblue	diagreen	tripurp	diapurp	1	prime	1308331176.124377	2.266380	6	
47	101.0	2	sample	octopurp	octored	tripurp	trigreen	line	trired	circlepurp	octogreen	none	1	prime	1308331178.899951	2.043133	4	
48	7.0	2	sample	octogreen	heartred	octogreen	none	line	octogreen	heartred	octogreen	none	1	prime	1308331181.435919	1.959997	9	
49	100.0	2	sample	triyellow	triblue	octoyellow	octoblack	line	octoblue	diayellow	triblack	none	1	prime	1308331183.905711	1.760760	5	
50	64.0	2	sample	sqyellow	diablack	sqblue	octored	line	diablack	sqblack	heartpurp	octored	1	prime	1308331186.178792	1.841117	4	
51	52.0	2	sample	circlepurp	circlepurp	circlepurp	circlepurp	line	diablue	diablue	diablue	diablue	1	prime	1308331188.533166	1.773814	4	
52	10.0	2	sample	heartgreen	sqblack	octopurp	none	line	sqblue	octogreen	diablue	none	1	prime	1308331190.799488	1.015617	3	
53	32.0	2	sample	octopurp	heartblue	circlepurp	circleblue	line	octopurp	octopurp	circleblue	circleblue	1	prime	1308331192.329628	1.490884	6	
54	17.0	2	sample	heartred	octoyellow	heartred	none	line	heartred	octored	heartred	none	1	prime	1308331194.316423	1.476306	8	
55	5.0	2	sample	sqblue	circleblack	octored	none	line	diagreen	circleblack	octored	none	1	prime	1308331196.286987	1.345418	7	
56	39.0	2	sample	circlepurp	circlepurp	sqred	trired	line	circlepurp	sqpurp	circlered	sqred	1	prime	1308331198.147834	1.473409	7	
57	45.0	2	sample	triyellow	heartblue	octogreen	none	line	octogreen	diablack	triyellow	none	1	prime	1308331200.117756	1.525348	2	
58	81.0	2	sample	trired	trigreen	trired	none	line	none	trired	trired	none	1	prime	1308331202.136408	1.130841	8	
59	86.0	2	sample	none	diablue	heartblue	none	line	diayellow	circleblue	heartyellow	none	1	prime	1308331203.751834	1.885463	6	
60	34.0	2	sample	heartpurp	octoblue	heartpurp	sqblue	line	octopurp	octoblue	heartblue	sqblue	1	prime	1308331206.151647	1.010349	6	
61	8.0	2	sample	tripurp	octored	sqblue	none	line	tripurp	octoyellow	sqpurp	none	1	prime	1308331207.658429	1.392931	6	
62	37.0	2	sample	sqblue	diablack	sqblue	diablack	line	diablack	sqblue	diablack	sqblue	1	prime	1308331209.563615	2.802418	9	
63	11.0	2	sample	diared	tripurp	sqblue	none	line	triyellow	sqred	circleyellow	none	1	prime	1308331212.863721	0.910996	3	
64	49.0	2	sample	circlered	sqblack	diayellow	none	line	diayellow	sqblack	circlered	none	1	prime	1308331214.267365	2.672843	9	
65	1.0	2	sample	octoblue	sqyellow	trired	none	line	heartpurp	diagreen	circleblue	none	1	prime	1308331217.436198	1.260795	2	
66	38.0	2	sample	circleblack	circleblack	triyellow	octoyellow	line	circleblack	triblack	circleyellow	triyellow	1	prime	1308331219.214742	2.780421	7	
67	77.0	2	sample	diagreen	circlered	heartyellow	none	line	none	circlered	heartyellow	none	1	prime	1308331222.479209	1.305763	8	
68	70.0	2	sample	triyellow	heartpurp	circleblue	trigreen	line	triyellow	heartpurp	circleblue	trigreen	1	prime	1308331224.305901	1.650171	9	
69	51.0	2	sample	diapurp	diablack	heartblue	none	line	diagreen	diablack	heartblue	none	1	prime	1308331226.449628	1.793593	7	
70	33.0	2	sample	octored	triblack	diared	diablack	line	octored	octored	diablack	diablack	1	prime	1308331228.760283	1.952391	6	
71	31.0	2	sample	diared	heartgreen	trired	heartred	line	heartgreen	circleyellow	circleyellow	triyellow	1	prime	1308331231.230887	1.685988	5	
72	9.0	2	sample	sqblue	trigreen	heartblack	none	line	sqblue	triyellow	heartblue	none	1	prime	1308331233.413881	2.204401	5	
73	44.0	2	sample	circleblack	triyellow	heartred	none	line	heartred	octogreen	circleblack	none	1	prime	1308331236.113604	1.311255	3	
74	36.0	2	sample	octogreen	circleblue	octogreen	circleblue	line	circleblue	octogreen	circleblue	octogreen	1	prime	1308331237.939907	1.539955	9	
75	24.0	2	sample	heartblack	circleblack	diablack	triblack	line	sqpurp	octopurp	heartpurp	circlepurp	1	prime	1308331239.993735	1.773309	6	
76	58.0	2	sample	diablue	circlegreen	circleblack	heartred	line	sqpurp	sqgreen	sqblack	heartred	1	prime	1308331242.278590	1.526996	4	
77	41.0	2	sample	triyellow	diablue	sqpurp	none	line	octored	heartgreen	circleblack	none	1	prime	1308331244.300110	1.046694	2	
78	75.0	2	sample	sqblack	diagreen	trired	none	line	none	sqred	diagreen	none	1	prime	1308331245.830934	1.902456	3	
79	91.0	2	sample	none	triyellow	heartyellow	none	line	triyellow	sqpurp	heartyellow	none	1	prime	1308331248.218545	1.536815	7	
80	53.0	2	sample	heartred	heartred	heartred	heartred	line	sqpurp	sqpurp	sqpurp	sqpurp	1	prime	1308331250.150677	0.532727	3	
81	73.0	2	sample	heartblue	trired	octogreen	none	line	none	sqyellow	circlepurp	none	1	prime	1308331251.168501	1.089428	4	
82	84.0	2	sample	octored	trigreen	heartred	none	line	none	octogreen	heartgreen	none	1	prime	1308331252.743289	2.116588	5	
83	15.0	2	sample	circleblack	sqpurp	circleblack	none	line	circleblack	sqred	circleblack	none	1	prime	1308331255.351044	1.530776	7	
84	88.0	2	sample	octogreen	diablack	sqgreen	none	line	none	octogreen	sqgreen	none	1	prime	1308331257.362345	0.994496	7	
85	40.0	2	sample	octored	trigreen	circlepurp	none	line	diablack	heartblue	sqyellow	none	1	prime	1308331258.851972	1.029654	2	
86	2.0	2	sample	octoyellow	circleblack	diagreen	none	line	diared	trired	heartyellow	none	1	prime	1308331260.376928	1.609513	3	
87	68.0	2	sample	heartblack	diapurp	triblack	octopurp	line	heartblack	diapurp	triblack	octopurp	1	prime	1308331262.501313	1.871606	9	
88	19.0	2	sample	diablue	octogreen	diablue	none	line	octogreen	diablue	octogreen	none	1	prime	1308331264.866288	0.865659	9	
89	48.0	2	sample	diagreen	circlepurp	sqblack	none	line	sqblack	circlepurp	diagreen	none	1	prime	1308331266.222582	1.465013	9	
90	26.0	2	sample	heartblue	triblack	sqpurp	sqgreen	line	circleblue	octoblack	diapurp	diagreen	1	prime	1308331268.202013	1.689814	4	
91	22.0	2	sample	sqblack	trired	sqblack	none	line	triblack	sqred	sqred	none	1	prime	1308331270.386975	1.874885	5	
92	94.0	2	sample	octopurp	octogreen	circlepurp	circlegreen	line	octopurp	circlepurp	circlegreen	none	1	prime	1308331272.763668	2.249318	7	
93	97.0	2	sample	octopurp	heartpurp	heartyellow	none	line	octopurp	octoyellow	heartpurp	heartyellow	1	prime	1308331275.515132	2.050181	8	
94	55.0	2	sample	heartblue	heartblue	heartpurp	heartpurp	line	octopurp	octoblack	octoblack	circleblue	1	prime	1308331278.079300	1.922238	1	
95	42.0	2	sample	sqyellow	octoblack	heartblue	none	line	heartpurp	trigreen	circleblack	none	1	prime	1308331280.495678	1.030666	2	
96	35.0	2	sample	sqpurp	octoblue	sqpurp	diablue	line	octopurp	octoblue	sqblue	diablue	1	prime	1308331282.039495	1.939726	8	
97	87.0	2	sample	none	heartyellow	diayellow	none	line	heartgreen	sqyellow	diagreen	none	1	prime	1308331284.461103	1.689133	6	
98	103.0	2	sample	diared	diared	octogreen	octoyellow	line	octoblack	sqgreen	diayellow	none	1	prime	1308331286.652621	1.353824	4	
99	4.0	2	sample	sqgreen	heartblack	diayellow	none	line	sqgreen	heartblack	octopurp	none	1	prime	1308331288.496637	1.448939	7	
100	6.0	2	sample	circlegreen	tripurp	circlegreen	none	line	circlegreen	tripurp	circlegreen	none	1	prime	1308331290.440804	1.791864	9	48 1.4114921093
101	13.0	2	sample	sqblue	circleyellow	sqpurp	none	line	triblue	sqyellow	tripurp	none	1	prime	1308331292.728398	1.277576	5	
102	57.0	2	sample	sqblue	octogreen	trired	diayellow	line	octoyellow	diared	sqgreen	triblue	1	prime	1308331294.374161	1.073683	3	
103	71.0	2	sample	triblack	octogreen	circlered	tripurp	line	triblack	octogreen	circlered	tripurp	1	prime	1308331295.968408	1.352280	9	
104	21.0	2	sample	sqblue	circlepurp	sqblue	none	line	sqpurp	circleblue	sqpurp	none	1	prime	1308331297.812635	1.132196	7	
item	itemNumber	block	type	shapeOne	shapeTwo	shapeThree	shapeFour	line	shapeFive	shapeSix	shapeSeven	shapeEight	sID	mode	onset_time	record_time	response	Other_keys
0	97.0	2	sample	triblue	heartblue	heartyellow	none	line	triblue	triyellow	heartblue	heartyellow	10	prime	1308598055.331332	2.286970	2	
1	36.0	2	sample	diayellow	triblack	diayellow	triblack	line	triblack	diayellow	triblack	diayellow	10	prime	1308598058.139998	1.699124	8	
2	91.0	2	sample	none	diared	heartred	none	line	diared	triblue	heartred	none	10	prime	1308598060.328580	3.057099	4	
3	72.0	2	sample	circleyellow	heartred	diapurp	none	line	none	triblue	sqgreen	none	10	prime	1308598063.873603	1.534129	1	
4	30.0	2	sample	octoblack	heartpurp	diablack	heartblack	line	heartpurp	trigreen	trigreen	diagreen	10	prime	1308598065.928630	2.031265	1	
5	89.0	2	sample	sqpurp	circlegreen	diapurp	none	line	none	sqpurp	diapurp	none	10	prime	1308598068.442317	1.986938	3	
6	77.0	2	sample	circleblue	tripurp	diayellow	none	line	none	tripurp	diayellow	none	10	prime	1308598070.918069	3.356092	6	
7	88.0	2	sample	heartpurp	octoblack	tripurp	none	line	none	heartpurp	tripurp	none	10	prime	1308598074.759354	2.630543	6	
8	68.0	2	sample	sqblue	trired	circleblue	octored	line	sqblue	trired	circleblue	octored	10	prime	1308598077.913954	1.713248	9	
9	78.0	2	sample	octogreen	circleblue	sqblack	none	line	none	octogreen	circleblue	none	10	prime	1308598080.112651	2.447942	7	
10	104.0	2	sample	diayellow	diayellow	circleblue	circleblack	line	circleyellow	triblue	diablack	none	10	prime	1308598083.067744	2.244008	4	
11	45.0	2	sample	octogreen	diablack	heartred	none	line	heartred	sqyellow	octogreen	none	10	prime	1308598085.805399	2.041957	1	
12	65.0	2	sample	circlepurp	sqred	circleyellow	triblack	line	sqred	circlered	heartblue	triblack	10	prime	1308598088.368768	3.058384	2	
13	28.0	2	sample	circleblue	octoyellow	circleblue	octopurp	line	circleblue	heartyellow	circleblue	heartpurp	10	prime	1308598091.945131	2.117095	7	
14	93.0	2	sample	octogreen	diayellow	circlepurp	heartred	line	sqblue	triblack	octogreen	none	10	prime	1308598094.567354	3.571904	1	
15	40.0	2	sample	octoblack	sqred	trigreen	none	line	diablue	heartyellow	circlepurp	none	10	prime	1308598098.635264	1.923630	1	
16	73.0	2	sample	trigreen	circleblue	diayellow	none	line	none	octoblack	heartred	none	10	prime	1308598101.044353	1.337527	1	
17	79.0	2	sample	heartgreen	circlepurp	diablack	none	line	none	heartgreen	circlepurp	none	10	prime	1308598102.864508	2.931407	8	
18	43.0	2	sample	diagreen	tripurp	circleblack	none	line	circlered	heartblue	octopurp	none	10	prime	1308598106.291671	2.818837	1	
19	71.0	2	sample	heartpurp	sqgreen	circleyellow	heartred	line	heartpurp	sqgreen	circleyellow	heartred	10	prime	1308598109.622060	1.924716	9	
20	41.0	2	sample	sqgreen	octoyellow	triblue	none	line	heartpurp	circlered	diablack	none	10	prime	1308598112.041973	2.471356	1	
21	17.0	2	sample	diapurp	sqgreen	diapurp	none	line	diapurp	sqpurp	diapurp	none	10	prime	1308598115.003161	1.846911	8	
22	70.0	2	sample	diared	octoyellow	circlegreen	diablack	line	diared	octoyellow	circlegreen	diablack	10	prime	1308598117.363330	1.641270	9	
23	38.0	2	sample	triblue	triblue	octoblack	diablack	line	triblue	octoblue	triblack	octoblack	10	prime	1308598119.528034	1.929379	8	
24	60.0	2	sample	octoyellow	tripurp	heartblack	diapurp	line	octoyellow	diared	heartblack	trigreen	10	prime	1308598121.973885	5.052007	3	
25	46.0	2	sample	triyellow	diagreen	octoblack	none	line	sqyellow	diagreen	heartblack	none	10	prime	1308598127.519481	2.191309	8	
26	67.0	2	sample	heartpurp	triblue	circleyellow	octopurp	line	tripurp	heartblue	circleyellow	heartyellow	10	prime	1308598130.227985	4.902167	8	
27	61.0	2	sample	diablack	heartpurp	trired	circlepurp	line	diablack	circlegreen	trired	heartyellow	10	prime	1308598135.646936	4.223051	5	
28	92.0	2	sample	sqgreen	circlepurp	diablack	heartblue	line	octoyellow	trired	sqgreen	none	10	prime	1308598140.373974	3.970682	1	
29	13.0	2	sample	circleblue	octored	circlegreen	none	line	heartblue	circlered	heartgreen	none	10	prime	1308598144.840175	5.304996	6	
30	96.0	2	sample	heartpurp	circlepurp	circleblack	none	line	heartpurp	heartblack	circlepurp	circleblack	10	prime	1308598150.646458	3.758037	7	
31	1.0	2	sample	circleyellow	sqblack	octoblue	none	line	heartpurp	diagreen	triyellow	none	10	prime	1308598154.898891	5.040959	1	
32	2.0	2	sample	sqyellow	circleblue	octopurp	none	line	octored	diared	heartyellow	none	10	prime	1308598160.433532	1.577891	1	
33	50.0	2	sample	heartyellow	heartpurp	circleblack	none	line	heartgreen	heartpurp	circleblack	none	10	prime	1308598162.502915	3.883803	8	
34	75.0	2	sample	heartblue	sqgreen	diapurp	none	line	none	heartpurp	sqgreen	none	10	prime	1308598166.867549	2.684637	2	
35	12.0	2	sample	sqpurp	heartblack	sqblue	none	line	diapurp	sqblack	diablue	none	10	prime	1308598170.043310	3.685236	4	
36	19.0	2	sample	heartpurp	triblue	heartpurp	none	line	triblue	heartpurp	triblue	none	10	prime	1308598174.226927	2.633924	7	
37	27.0	2	sample	octogreen	sqblue	circleblack	circlepurp	line	diagreen	triblue	heartblack	heartpurp	10	prime	1308598177.376385	2.335055	7	
38	55.0	2	sample	sqblue	sqblue	sqpurp	sqpurp	line	circlepurp	circlered	circlered	triblue	10	prime	1308598180.226383	4.937474	1	
39	103.0	2	sample	sqgreen	sqgreen	diablue	diablack	line	diared	heartblue	sqblack	none	10	prime	1308598185.665603	2.381943	1	
40	33.0	2	sample	diagreen	heartred	octogreen	octored	line	diagreen	diagreen	octored	octored	10	prime	1308598188.563126	2.583573	6	
41	14.0	2	sample	diagreen	circlepurp	diagreen	none	line	diagreen	circlered	diagreen	none	10	prime	1308598191.639977	2.340785	8	
42	49.0	2	sample	diagreen	circleblack	heartyellow	none	line	heartyellow	circleblack	diagreen	none	10	prime	1308598194.472964	3.352753	8	
43	62.0	2	sample	circlepurp	octored	triblack	heartgreen	line	octopurp	circlered	sqblack	diagreen	10	prime	1308598198.341166	5.003255	7	
44	31.0	2	sample	sqgreen	diablack	heartgreen	diagreen	line	diablack	circlepurp	circlepurp	heartpurp	10	prime	1308598203.855382	4.775844	3	
45	16.0	2	sample	octopurp	diared	octopurp	none	line	octopurp	diapurp	octopurp	none	10	prime	1308598209.123328	3.286576	7	
46	82.0	2	sample	heartblack	sqblue	heartblack	none	line	none	heartblue	heartblue	none	10	prime	1308598212.893173	2.450062	3	
47	42.0	2	sample	tripurp	sqyellow	heartred	none	line	heartgreen	octoblack	circleyellow	none	10	prime	1308598215.837565	1.411559	1	
48	8.0	2	sample	sqblue	diapurp	trired	none	line	sqblue	diablack	triblue	none	10	prime	1308598217.746474	1.740105	7	
49	39.0	2	sample	octogreen	octogreen	heartblue	circleblue	line	octogreen	heartgreen	octoblue	heartblue	10	prime	1308598220.001303	1.788808	8	
50	51.0	2	sample	octopurp	octored	sqgreen	none	line	octoblue	octored	sqgreen	none	10	prime	1308598222.283585	3.069799	8	
51	7.0	2	sample	heartpurp	sqgreen	heartpurp	none	line	heartpurp	sqgreen	heartpurp	none	10	prime	1308598225.843013	1.532267	9	
52	47.0	2	sample	heartgreen	diapurp	circleyellow	none	line	octogreen	diapurp	sqyellow	none	10	prime	1308598227.866843	1.812041	8	
53	105.0	2	sample	heartblack	heartblack	octoyellow	octogreen	line	octoblack	sqyellow	heartgreen	none	10	prime	1308598230.180255	2.630953	2	
54	25.0	2	sample	circleblack	octoblack	triblack	diablack	line	sqgreen	heartgreen	circlegreen	octogreen	10	prime	1308598233.324421	2.619083	2	
55	99.0	2	sample	circleblack	circleblack	octoyellow	octored	line	octoblack	sqyellow	circlered	none	10	prime	1308598236.446856	4.037655	2	
56	18.0	2	sample	diablack	trigreen	diablack	none	line	trigreen	diablack	trigreen	none	10	prime	1308598240.981299	1.972555	7	
57	76.0	2	sample	octoblack	circlepurp	diablue	none	line	none	circlepurp	diablue	none	10	prime	1308598243.437033	3.196060	7	
58	86.0	2	sample	none	triblack	octoblack	none	line	triyellow	sqblack	octoyellow	none	10	prime	1308598247.118243	3.144374	8	
59	9.0	2	sample	octoblue	circlered	heartyellow	none	line	octoblue	circlepurp	heartblue	none	10	prime	1308598250.757894	2.206048	1	
60	83.0	2	sample	trired	circlepurp	trired	none	line	none	tripurp	tripurp	none	10	prime	1308598253.454269	2.658554	2	
61	80.0	2	sample	trigreen	trired	trigreen	none	line	none	trigreen	trigreen	none	10	prime	1308598256.604176	2.342573	8	
62	85.0	2	sample	diayellow	octopurp	triyellow	none	line	none	diapurp	tripurp	none	10	prime	1308598259.433016	4.071360	5	
63	98.0	2	sample	circleyellow	circleyellow	heartblue	heartpurp	line	heartyellow	diablue	circlepurp	none	10	prime	1308598264.007497	3.341769	2	
64	59.0	2	sample	triblue	sqgreen	sqpurp	octoyellow	line	heartred	heartgreen	heartpurp	octoyellow	10	prime	1308598267.863032	2.833955	3	
65	3.0	2	sample	sqyellow	diapurp	triblue	none	line	sqyellow	heartred	triblue	none	10	prime	1308598271.193410	5.420214	2	
66	48.0	2	sample	heartblue	trigreen	octoblack	none	line	octoblack	trigreen	heartblue	none	10	prime	1308598277.110186	5.303974	9	
67	20.0	2	sample	diared	circlegreen	diared	none	line	diagreen	circlered	diagreen	none	10	prime	1308598282.908266	2.522110	8	
68	87.0	2	sample	none	heartblue	sqblue	none	line	heartpurp	circleblue	sqpurp	none	10	prime	1308598285.913459	4.273402	7	
69	10.0	2	sample	diared	circlepurp	octoyellow	none	line	circleblue	octored	sqblue	none	10	prime	1308598290.681646	3.482758	3	
70	15.0	2	sample	diared	circleblue	diared	none	line	diared	circleblack	diared	none	10	prime	1308598294.658778	3.284241	7	
71	69.0	2	sample	heartblue	trired	sqblue	diared	line	heartblue	trired	sqblue	diared	10	prime	1308598298.462728	2.579355	9	
72	52.0	2	sample	octoblack	octoblack	octoblack	octoblack	line	heartpurp	heartpurp	heartpurp	heartpurp	10	prime	1308598301.553356	2.521653	1	
73	24.0	2	sample	tripurp	octopurp	sqpurp	diapurp	line	circlered	heartred	trired	octored	10	prime	1308598304.594071	3.143560	3	
74	84.0	2	sample	heartgreen	diablue	octogreen	none	line	none	heartblue	octoblue	none	10	prime	1308598308.221584	2.847159	2	
75	58.0	2	sample	heartgreen	trired	tripurp	sqyellow	line	circleblack	circlered	circlepurp	sqyellow	10	prime	1308598311.584675	2.218639	1	
76	37.0	2	sample	sqred	octoblack	sqred	octoblack	line	octoblack	sqred	octoblack	sqred	10	prime	1308598314.315753	2.288454	8	
77	56.0	2	sample	octoblack	sqblue	heartgreen	circleyellow	line	sqyellow	circlegreen	octoblue	heartblack	10	prime	1308598317.117392	4.939219	4	
78	5.0	2	sample	sqblack	heartblue	circlegreen	none	line	trired	heartblue	circlegreen	none	10	prime	1308598322.551341	2.587887	4	
79	22.0	2	sample	heartgreen	trired	heartgreen	none	line	trigreen	heartred	heartred	none	10	prime	1308598325.636748	4.374913	6	
80	4.0	2	sample	triblack	diayellow	sqgreen	none	line	triblack	diayellow	octored	none	10	prime	1308598330.508082	1.972965	8	
81	94.0	2	sample	sqblue	sqblack	diablue	diablack	line	sqblue	diablue	diablack	none	10	prime	1308598332.983482	3.972211	9	
82	66.0	2	sample	heartred	sqyellow	diagreen	octored	line	sqred	heartyellow	diagreen	heartgreen	10	prime	1308598337.469681	3.049301	6	
83	57.0	2	sample	circleblue	sqblack	trigreen	heartred	line	sqred	heartgreen	circleblack	triblue	10	prime	1308598341.036658	5.481706	2	
84	64.0	2	sample	octoyellow	diagreen	octopurp	triblack	line	diagreen	octogreen	circlered	triblack	10	prime	1308598347.035086	3.344809	1	
85	90.0	2	sample	none	diablue	heartblue	none	line	diablue	octoblack	heartblue	none	10	prime	1308598350.863960	2.565360	4	
86	53.0	2	sample	heartblack	heartblack	heartblack	heartblack	line	triblue	triblue	triblue	triblue	10	prime	1308598353.950046	1.401667	1	
87	29.0	2	sample	heartgreen	triblue	heartgreen	trired	line	heartgreen	diablue	heartgreen	diared	10	prime	1308598355.869826	3.459389	5	
88	101.0	2	sample	diapurp	diagreen	tripurp	triblue	line	trigreen	heartpurp	diablue	none	10	prime	1308598359.838004	4.662016	3	
89	81.0	2	sample	circlered	circlegreen	circlered	none	line	none	circlered	circlered	none	10	prime	1308598364.985407	2.298857	7	
90	54.0	2	sample	diagreen	diagreen	diapurp	diapurp	line	circlepurp	circleblack	circleblack	trigreen	10	prime	1308598367.798129	2.635049	1	
91	35.0	2	sample	heartgreen	circleblack	heartgreen	triblack	line	circlegreen	circleblack	heartblack	triblack	10	prime	1308598370.948618	3.163761	2	
92	100.0	2	sample	triblack	tripurp	circleblack	circleyellow	line	circlepurp	heartblack	triyellow	none	10	prime	1308598374.620289	2.491776	2	
